"","Events","diff_time","area","amplitude","well"
"2","1",0.796999931335449,62.5230537550011,94.5508954777693,"W1"
"3","2",7321.21299982071,60135.515612783,167.550895477769,"W1"
"4","1",0.678999900817871,19.7625537776457,49.5508954777693,"W2"
"5","2",0.20199990272522,5.5652782065021,29.5508954777693,"W2"
"6","3",0.618000030517578,6.21145371199043,11.5508954777693,"W2"
"7","4",0.969000101089478,24.1843220051011,39.5508954777693,"W2"
"8","5",0.844000101089478,31.3274612748706,55.5508954777693,"W2"
"9","8",0.400000095367432,12.1428612381826,44.5508954777693,"W2"
"10","9",0.210999965667725,4.65273818875191,35.5508954777693,"W2"
"11","10",0.194000005722046,1.56187376875484,11.5508954777693,"W2"
"12","11",0.517999887466431,2.87536323282242,6.55089547776932,"W2"
"13","12",0.19599986076355,3.92997272182728,23.5508954777693,"W2"
"14","13",0.202000141143799,2.33328251684667,22.5508954777693,"W2"
"15","14",1.6029999256134,85.8050858180576,65.5508954777693,"W2"
"16","15",0.38100004196167,14.2133942843293,58.5508954777693,"W2"
"17","16",0.58899998664856,20.8894770094342,50.5508954777693,"W2"
"18","17",0.197000026702881,3.35902686442859,18.5508954777693,"W2"
"19","18",1.19700002670288,28.985422353642,30.5508954777693,"W2"
"20","19",2.1729998588562,79.587587281033,52.5508954777693,"W2"
"21","20",0.607999801635742,20.7229375577204,42.5508954777693,"W2"
"22","1",2.00899982452393,120.314747193926,94.5508954777693,"W3"
"23","2",1.39599990844727,63.5510456906361,63.5508954777693,"W3"
"24","3",0.801999807357788,37.0653109039975,53.5508954777693,"W3"
"25","1",0.807999849319458,0.445123463028378,0.550895477769316,"W4"
"26","2",0.498999834060669,0.274896751991662,0.550895477769316,"W4"
"27","4",0.480000019073486,0.264429839836769,0.550895477769316,"W4"
"28","5",2.20900011062622,1.2169281713359,0.550895477769316,"W4"
"29","6",2.39599990844727,1.31994551429929,0.550895477769316,"W4"
"30","8",2.99699997901917,1.65103373531639,0.550895477769316,"W4"
"31","10",0.401000022888184,0.220909099194493,0.550895477769316,"W4"
"32","11",1.86699986457825,1.02852178239208,0.550895477769316,"W4"
"33","13",1.80200004577637,0.992713676158302,0.550895477769316,"W4"
"34","14",0.00999999046325684,0.00550894952394448,0.550895477769316,"W4"
"35","15",0.20799994468689,0.114586228904275,0.550895477769316,"W4"
"36","16",2.05599999427795,1.13264109914147,0.550895477769316,"W4"
"37","17",0.197000026702881,0.108526423831052,0.550895477769316,"W4"
"38","18",3.38000011444092,1.86202677790527,0.550895477769316,"W4"
"39","20",2.20799994468689,1.21637718444291,0.550895477769316,"W4"
"40","21",0.197999954223633,0.109077279380331,0.550895477769316,"W4"
"41","22",1.79399991035461,0.988306437732916,0.550895477769316,"W4"
"42","24",0.796000003814697,0.438512802405875,0.550895477769316,"W4"
"43","25",1.07200002670288,0.590559966879203,0.550895477769316,"W4"
"44","27",1.13499999046326,0.625266362014425,0.550895477769316,"W4"
"45","28",0.513999938964844,0.283160241949437,0.550895477769316,"W4"
"46","29",1,0.550895477769316,0.550895477769316,"W4"
"47","30",0.455999851226807,0.251208255904329,0.550895477769316,"W4"
"48","31",1.40799999237061,0.775660828496198,0.550895477769316,"W4"
"49","32",0.398000001907349,0.219256401202938,0.550895477769316,"W4"
"50","33",0.388000011444092,0.213747451678993,0.550895477769316,"W4"
"51","34",2.06299996376038,1.13649735067385,0.550895477769316,"W4"
"52","35",2,1.10179095553863,0.550895477769316,"W4"
"53","36",0.396000146865845,0.218154690104379,0.550895477769316,"W4"
"54","38",1.82599997520447,1.00593512874702,0.550895477769316,"W4"
"55","39",0.791000127792358,0.435758393315761,0.550895477769316,"W4"
"56","40",0.447999954223633,0.24680114882266,0.550895477769316,"W4"
"57","41",1,0.550895477769316,0.550895477769316,"W4"
"58","42",0.997999906539917,0.549793635327041,0.550895477769316,"W4"
"59","43",0.182000160217285,0.100263065216993,0.550895477769316,"W4"
"60","44",2.50099992752075,1.37778954997257,0.550895477769316,"W4"
"61","46",0.0999999046325684,0.0550894952394448,0.550895477769316,"W4"
"62","47",1.53299999237061,0.844522763217363,0.550895477769316,"W4"
"63","49",1.39800000190735,0.770151878972254,0.550895477769316,"W4"
"64","50",0.395999908447266,0.218154558760662,0.550895477769316,"W4"
"65","52",0.596999883651733,0.328884536132548,0.550895477769316,"W4"
"66","53",1.48300004005432,0.81697801559764,0.550895477769316,"W4"
"67","56",0.483000040054321,0.266082537828324,0.550895477769316,"W4"
"68","57",1.86399984359741,1.02686908440053,0.550895477769316,"W4"
"69","59",2.18700003623962,1.20480842984574,0.550895477769316,"W4"
"70","61",2.40199995040894,1.3232509102824,0.550895477769316,"W4"
"71","62",0.187999963760376,0.103568329856386,0.550895477769316,"W4"
"72","63",2,1.10179095553863,0.550895477769316,"W4"
"73","65",0.714999914169312,0.393890219321323,0.550895477769316,"W4"
"74","67",1.19900012016296,0.660523744042644,0.550895477769316,"W4"
"75","69",0.203999996185303,0.112382675363441,0.550895477769316,"W4"
"76","70",0.39900016784668,0.219807388095934,0.550895477769316,"W4"
"77","72",0.791000127792358,0.435758393315761,0.550895477769316,"W4"
"78","73",0.463000059127808,0.255064638780435,0.550895477769316,"W4"
"79","74",0.905999898910522,0.499111247169264,0.550895477769316,"W4"
"80","75",1.19700002670288,0.659421901600368,0.550895477769316,"W4"
"81","76",3.07299995422363,1.69290177796712,0.550895477769316,"W4"
"82","77",0.684999942779541,0.37736337074949,0.550895477769316,"W4"
"83","78",0.684000015258789,0.37681251520021,0.550895477769316,"W4"
